lead_id,channel,device,region,campaign,age_group,visit_date,time_on_site_sec,pages_viewed,ad_spend,funnel_stage,converted,revenue,month,month_name
1,Paid Search,Desktop,East,Retargeting,35-44,2024-01-01 00:00:00,417,12,6.37,Awareness,0,0.0,1,Jan
2,Direct,Desktop,West,Seasonal Offer,35-44,2024-01-01 02:00:00,725,2,0.98,Bounced,0,0.0,1,Jan
3,Email,Mobile,West,Product Launch,55+,2024-01-01 04:00:00,778,8,3.64,Converted,1,499.0,1,Jan
4,Social Media,Desktop,South,Lead Gen,18-24,2024-01-01 06:00:00,326,8,1.59,Product View,0,0.0,1,Jan
5,Organic Search,Mobile,North,Retargeting,25-34,2024-01-01 08:00:00,352,12,6.12,Product View,0,0.0,1,Jan
6,Organic Search,Desktop,West,Product Launch,18-24,2024-01-01 10:00:00,845,13,12.72,Product View,0,0.0,1,Jan
7,Organic Search,Mobile,South,Product Launch,25-34,2024-01-01 12:00:00,883,1,5.98,Checkout,0,0.0,1,Jan
8,Referral,Mobile,East,Retargeting,25-34,2024-01-01 14:00:00,517,3,12.56,Awareness,0,0.0,1,Jan
9,Social Media,Desktop,East,Lead Gen,25-34,2024-01-01 16:00:00,599,14,10.02,Converted,1,49.0,1,Jan
10,Social Media,Desktop,East,Retargeting,55+,2024-01-01 18:00:00,68,2,7.89,Bounced,0,0.0,1,Jan
11,Organic Search,Desktop,East,Product Launch,55+,2024-01-01 20:00:00,534,7,3.93,Product View,0,0.0,1,Jan
12,Direct,Mobile,South,Brand Awareness,25-34,2024-01-01 22:00:00,532,7,13.87,Awareness,0,0.0,1,Jan
13,Email,Mobile,North,Retargeting,35-44,2024-01-02 00:00:00,782,4,1.29,Checkout,0,0.0,1,Jan
14,Organic Search,Mobile,South,Product Launch,35-44,2024-01-02 02:00:00,566,12,10.49,Bounced,0,0.0,1,Jan
15,Organic Search,Desktop,North,Retargeting,45-54,2024-01-02 04:00:00,345,12,9.51,Checkout,0,0.0,1,Jan
16,Organic Search,Desktop,East,Product Launch,35-44,2024-01-02 06:00:00,525,8,6.9,Bounced,0,0.0,1,Jan
17,Paid Search,Desktop,West,Lead Gen,18-24,2024-01-02 08:00:00,146,3,3.98,Converted,1,249.0,1,Jan
18,Social Media,Desktop,West,Product Launch,45-54,2024-01-02 10:00:00,371,14,6.75,Bounced,0,0.0,1,Jan
19,Paid Search,Mobile,West,Seasonal Offer,35-44,2024-01-02 12:00:00,269,9,13.16,Product View,0,0.0,1,Jan
20,Organic Search,Mobile,North,Brand Awareness,35-44,2024-01-02 14:00:00,716,5,12.63,Bounced,0,0.0,1,Jan
21,Social Media,Mobile,East,Product Launch,55+,2024-01-02 16:00:00,474,14,14.15,Bounced,0,0.0,1,Jan
22,Organic Search,Desktop,South,Retargeting,55+,2024-01-02 18:00:00,881,13,4.96,Bounced,0,0.0,1,Jan
23,Organic Search,Tablet,West,Retargeting,35-44,2024-01-02 20:00:00,769,14,6.11,Converted,1,49.0,1,Jan
24,Paid Search,Mobile,North,Product Launch,35-44,2024-01-02 22:00:00,516,2,0.77,Bounced,0,0.0,1,Jan
25,Paid Search,Tablet,West,Seasonal Offer,55+,2024-01-03 00:00:00,794,9,14.17,Checkout,0,0.0,1,Jan
26,Email,Mobile,South,Product Launch,25-34,2024-01-03 02:00:00,440,1,5.28,Converted,1,99.0,1,Jan
27,Organic Search,Desktop,East,Lead Gen,25-34,2024-01-03 04:00:00,652,11,6.36,Converted,1,49.0,1,Jan
28,Paid Search,Desktop,South,Seasonal Offer,25-34,2024-01-03 06:00:00,782,8,13.66,Product View,0,0.0,1,Jan
